----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1    [-1, 64, 128, 128, 128]           1,728
            Conv3d-2    [-1, 64, 128, 128, 128]           1,728
    InstanceNorm3d-3    [-1, 64, 128, 128, 128]             128
    InstanceNorm3d-4    [-1, 64, 128, 128, 128]             128
         LeakyReLU-5    [-1, 64, 128, 128, 128]               0
         LeakyReLU-6    [-1, 64, 128, 128, 128]               0
            Conv3d-7    [-1, 64, 128, 128, 128]         110,592
            Conv3d-8    [-1, 64, 128, 128, 128]         110,592
    InstanceNorm3d-9    [-1, 64, 128, 128, 128]             128
   InstanceNorm3d-10    [-1, 64, 128, 128, 128]             128
        LeakyReLU-11    [-1, 64, 128, 128, 128]               0
        LeakyReLU-12    [-1, 64, 128, 128, 128]               0
   UnetBasicBlock-13    [-1, 64, 128, 128, 128]               0
   UnetBasicBlock-14    [-1, 64, 128, 128, 128]               0
           Conv3d-15       [-1, 96, 64, 64, 64]         165,888
           Conv3d-16       [-1, 96, 64, 64, 64]         165,888
   InstanceNorm3d-17       [-1, 96, 64, 64, 64]             192
   InstanceNorm3d-18       [-1, 96, 64, 64, 64]             192
        LeakyReLU-19       [-1, 96, 64, 64, 64]               0
        LeakyReLU-20       [-1, 96, 64, 64, 64]               0
           Conv3d-21       [-1, 96, 64, 64, 64]         248,832
           Conv3d-22       [-1, 96, 64, 64, 64]         248,832
   InstanceNorm3d-23       [-1, 96, 64, 64, 64]             192
   InstanceNorm3d-24       [-1, 96, 64, 64, 64]             192
        LeakyReLU-25       [-1, 96, 64, 64, 64]               0
        LeakyReLU-26       [-1, 96, 64, 64, 64]               0
   UnetBasicBlock-27       [-1, 96, 64, 64, 64]               0
   UnetBasicBlock-28       [-1, 96, 64, 64, 64]               0
           Conv3d-29      [-1, 128, 32, 32, 32]         331,776
           Conv3d-30      [-1, 128, 32, 32, 32]         331,776
   InstanceNorm3d-31      [-1, 128, 32, 32, 32]             256
   InstanceNorm3d-32      [-1, 128, 32, 32, 32]             256
        LeakyReLU-33      [-1, 128, 32, 32, 32]               0
        LeakyReLU-34      [-1, 128, 32, 32, 32]               0
